nd.,Qual é a sua faixa etária?  ,Qual é a sua ocupação principal?  ,horas_trabalho_texto,Quanto tempo você dedica a responsabilidades familiares (como cuidar de crianças ou parentes) por semana?  ,horas_lazer_texto,Qual é a principal razão pela qual você não tem tempo suficiente para lazer e hobbies?  ,Você sente que consegue equilibrar sua vida profissional/pessoal com atividades de lazer e hobbies?  ,Com que frequência você se sente estressado(a) pela falta de tempo para lazer e hobbies?  ,Quais tipos de atividades de lazer e hobbies você gostaria de ter mais tempo para realizar?  ,O que você acha que poderia ajudar a aumentar seu tempo disponível para lazer e hobbies?  ,horas_trabalho_num,horas_lazer_num
0,18-24 anos,"Estudante, Empregado(a) em tempo integral",40-50 horas,Menos de 5 horas,5-10 horas,Excesso de trabalho ou estudos,"Sim, mas com dificuldade",Às vezes,Jogos ou esportes,Melhor gestão do tempo,45.0,7.5
0,18-24 anos,Estudante,20-30 horas,5-10 horas,Mais de 15 horas,"Tarefas domésticas, escola","Sim, totalmente",Raramente,"Jogos ou esportes, Socialização com amigos e família",Melhor gestão do tempo,25.0,20.0
0,55 anos ou mais,Outros...,Mais de 50 horas,Menos de 5 horas,Mais de 15 horas,Outros...,"Sim, totalmente",Nunca,Outros...,Outros...,55.0,20.0
0,55 anos ou mais,Outros...,Mais de 50 horas,Menos de 5 horas,Nenhuma,Outros...,"Não, nunca consigo",Nunca,Outros...,Outros...,55.0,
0,25-34 anos,Desempregado(a),Menos de 20 horas,Menos de 5 horas,Mais de 15 horas,Outros...,"Sim, totalmente",Nunca,Outros...,Outros...,10.0,20.0
0,18-24 anos,Trabalhador(a) autônomo(a),Mais de 50 horas,Menos de 5 horas,5-10 horas,Excesso de trabalho ou estudos,"Sim, mas com dificuldade",Sempre,"Exercícios físicos, Atividades ao ar livre, Jogos ou esportes, Socialização com amigos e família",Melhor planejamento das atividades,55.0,7.5
0,18-24 anos,Estudante,20-30 horas,Mais de 30 horas,10-15 horas,"Excesso de trabalho ou estudos, Responsabilidades familiares","Sim, mas com dificuldade",Frequentemente,"Exercícios físicos, Jogos ou esportes, Socialização com amigos e família","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Apoio adicional nas responsabilidades familiares, Melhor planejamento das atividades",25.0,12.5
0,18-24 anos,Estudante,30-40 horas,5-10 horas,Menos de 5 horas,Responsabilidades familiares,"Sim, mas com dificuldade",Raramente,Jogos ou esportes,Melhor planejamento das atividades,35.0,2.5
0,18-24 anos,"Estudante, Desempregado(a)",20-30 horas,Menos de 5 horas,Mais de 15 horas,"Excesso de trabalho ou estudos, Tarefas domésticas","Sim, totalmente",Às vezes,"Exercícios físicos, Artesanato ou arte, Jogos ou esportes, Socialização com amigos e família","Redução de horas de trabalho/estudo, Melhor gestão do tempo, Melhor planejamento das atividades",25.0,20.0
0,18-24 anos,Estudante,30-40 horas,5-10 horas,Mais de 15 horas,Excesso de trabalho ou estudos,"Sim, totalmente",Nunca,"Leitura, Jogos ou esportes, Socialização com amigos e família",Redução de horas de trabalho/estudo,35.0,20.0
